video,Prediction
Animation_1080P-05f8,5.5254809421142296e-06
Animation_1080P-21dd,0.9780664787419588
Animation_1080P-4214,0.9950027573752074
Animation_1080P-4ea8,3.174498333130939e-13
Animation_2160P-6f3b,0.00020048812815476465
Animation_360P-3e40,4.3357049461721256e-07
Animation_360P-7856,1.543238723456418e-05
Animation_480P-046c,0.954923939171699
Animation_480P-70d4,0.9996447879848241
Animation_480P-7ef2,0.0003077093842927567
Animation_720P-1a6d,0.9999023859377597
CoverSong_1080P-0188,1.8589964470866996e-13
CoverSong_1080P-0f33,0.04232099827827329
CoverSong_1080P-237f,0.9999828236714532
CoverSong_1080P-5cae,0.9986799105392763
CoverSong_360P-2b4d,1.2224409004005401e-05
CoverSong_720P-4006,0.0374126765688023
CoverSong_720P-7539,8.194212873083167e-07
Gaming_1080P-0ce6,0.9993968415798382
Gaming_1080P-1704,0.9999858960654171
Gaming_1080P-277c,0.9991086066373216
Gaming_1080P-29b1,0.9999994431936986
Gaming_1080P-45fc,0.5517742656749947
Gaming_2160P-2b92,0.7251791411762947
Gaming_2160P-348d,0.917066673095182
Gaming_2160P-4258,0.9998558684671655
Gaming_2160P-5c53,0.999999920477452
Gaming_360P-7975,6.772636807159793e-07
Gaming_480P-09ab,0.9302431647305541
Gaming_480P-0a03,0.18233080946310407
Gaming_480P-0dbc,0.00016323435697580797
Gaming_480P-61ee,0.975404917451326
Gaming_480P-6548,0.001451806680102232
Gaming_720P-2dbe,0.878903977633419
Gaming_720P-6658,0.9246546464985235
HowTo_1080P-0267,0.9999928682467619
HowTo_1080P-36a9,0.9998799670146719
HowTo_1080P-64f7,0.9923538776403622
HowTo_360P-06be,0.7022286318687272
HowTo_360P-4276,0.9970779155604588
HowTo_480P-56a5,0.9999877773538475
HowTo_720P-3813,0.0007192778044885396
Lecture_1080P-011f,0.0485667340065933
Lecture_360P-2c55,0.8626872847372022
Lecture_360P-506c,0.0005033803927972381
Lecture_360P-6656,0.47581802447440336
Lecture_480P-11df,0.7025408632104457
Lecture_480P-1ec3,0.41263652887128494
Lecture_480P-2513,8.383887709045189e-11
Lecture_720P-50b9,0.5089952957778817
LiveMusic_1080P-14af,0.9999137870912057
LiveMusic_1080P-2f7f,0.830364429623274
LiveMusic_1080P-7948,0.003282352329259944
LiveMusic_360P-7483,9.725452493703136e-07
LiveMusic_480P-65ca,0.9836126936396817
LiveMusic_720P-6343,0.07090883170027984
LyricVideo_480P-51e4,2.277533184918995e-07
LyricVideo_480P-5c17,0.000661014415014419
LyricVideo_720P-5d3a,0.999951963977583
LyricVideo_720P-74a0,0.9998477692674484
MusicVideo_1080P-04b6,0.9991867775329826
MusicVideo_1080P-18f5,1.4920550298844126e-05
MusicVideo_480P-5830,1.1940754699185007e-06
MusicVideo_720P-14f0,2.4550559160804326e-05
MusicVideo_720P-575d,2.0028307088238555e-05
MusicVideo_720P-5c9c,0.06665077076010731
NewsClip_1080P-00c3,0.9999914474121673
NewsClip_1080P-22b3,0.7768909593904236
NewsClip_1080P-48ae,0.9989189313086251
NewsClip_1080P-5be1,0.9999934471657232
NewsClip_360P-1093,5.148717075660488e-05
NewsClip_360P-22ce,0.0020373976680279357
NewsClip_360P-311a,4.005478281424013e-09
NewsClip_720P-23e0,0.9999998414155148
NewsClip_720P-6016,0.99988215511915
Sports_1080P-2524,0.9951712440592002
Sports_1080P-3a3b,0.9970092293335477
Sports_1080P-4e05,0.426483362151061
Sports_1080P-53a0,0.5947982698221421
Sports_1080P-76a2,0.9999839026821749
Sports_2160P-086d,0.9999999743267611
Sports_2160P-1261,0.9999921830108087
Sports_2160P-1733,0.9999602709957225
Sports_2160P-5ef3,0.9999896589132885
Sports_360P-27b0,9.809943325244328e-07
Sports_360P-2ace,0.0002098775746108631
Sports_360P-301d,0.01146634907252895
Sports_360P-50fd,0.00010873280374398372
Sports_360P-6b4f,0.00010111752610350309
Sports_480P-1fe9,1.99723206517671e-10
Sports_480P-3dfd,0.8119524312361205
Sports_480P-3f50,0.9995346052240046
Sports_720P-2632,0.8506641634380665
Sports_720P-2c06,0.6796053562409325
Sports_720P-50cf,0.0019505567752614132
Sports_720P-5bfd,0.9999999782332569
Sports_720P-69a0,0.9994279564019104
TelevisionClip_1080P-3d10,0.04905348488597691
TelevisionClip_480P-1b49,0.3588514568469183
TelevisionClip_480P-27ca,0.2054914826090404
TelevisionClip_480P-59f0,0.00010099855790822127
TelevisionClip_720P-1b61,0.9999971751850314
TelevisionClip_720P-3f4c,4.288675338864241e-06
TelevisionClip_720P-5e93,0.9999991664476131
VerticalVideo_1080P-04d4,0.9999983678510147
VerticalVideo_1080P-360f,0.9999971542187179
VerticalVideo_1080P-766b,0.000618329079257539
VerticalVideo_480P-34b9,0.7593468469097844
VerticalVideo_720P-0f61,0.9999998820355541
VerticalVideo_720P-6580,0.0015931266932886921
Vlog_1080P-010b,0.9999999782446356
Vlog_1080P-2cda,0.9999961794543154
Vlog_1080P-64b6,0.9999088046219637
Vlog_2160P-13fe,0.40722387874380594
Vlog_2160P-2b2d,0.9980651163458154
Vlog_2160P-5874,0.9999891774014089
Vlog_2160P-6629,0.9999999397516163
Vlog_2160P-700c,0.9987485589511215
Vlog_2160P-77d8,0.732278541785215
Vlog_480P-0980,1.0675999714118968e-05
Vlog_480P-1b39,2.3223999878730554e-08
Vlog_480P-6395,0.06610334556676804
Vlog_720P-033a,0.9999635934884081
Vlog_720P-03f9,0.9984294198647642
Vlog_720P-4e3d,1.0180310302033194e-08
